id;text
1;John hat viele Probleme seinen Urlaub zu organisieren.
2;John hat viele Probleme, seinen Urlaub zu organisieren.
3;Irgendetwas muss mit John nicht stimmen
4;Der Mann wurde von der Polizei getötet
5;Bell mit Sitz in Los Angeles produziert und vertreibt Elektronik-, Computer- und Bauprodukte.
6;Ich sah eine Katze mit Hut
7;Ich habe das Buch gesehen, das Sie gekauft haben
8;Ich habe dir nichts zu sagen
9;Sie hat ihre Hausaufgaben nicht gemacht, weil sie krank war.
10;Er weiß, dass seine Mutter wütend auf ihn ist.
